system:index,NBR_amp,NBR_mean,NBR_pha,NDMI_amp,NDMI_mean,NDMI_pha,NDVI_amp,NDVI_mean,NDVI_pha,cls,elev,ptid,slope,.geo
396_0,0.01726570558424199,0.76314455,2.5541486475916826,0.021694338262487817,0.49485114,2.5134896520637344,0.026106050215765862,0.87546957,2.636075080911391,2,2270,396,26.101217,"{""type"":""MultiPoint"",""coordinates"":[]}"
397_0,0.025685099360995355,0.65856934,2.3368143724969057,0.025115821057333215,0.39316645,2.4246490050142104,0.04240935331907099,0.80962485,2.328747208560534,2,2909,397,29.881092,"{""type"":""MultiPoint"",""coordinates"":[]}"
398_0,0.03428245370752963,0.6057144,2.9451633041137035,0.03485739244385477,0.33171615,2.992738204714107,0.04360148258939185,0.76655436,3.0029436380855627,2,2753,398,26.638409,"{""type"":""MultiPoint"",""coordinates"":[]}"
399_0,0.057178603866366494,0.5814438,2.686464775396755,0.0515310457272159,0.32158682,2.8910844368163637,0.06453864472690377,0.758358,2.4584815554551067,2,2799,399,37.207275,"{""type"":""MultiPoint"",""coordinates"":[]}"
400_0,0.037788384386856555,0.60032594,2.613354314997063,0.030050455413500606,0.31206247,2.757939289348264,0.03693472058036842,0.8046985,2.5424990051141845,2,2498,400,47.62708,"{""type"":""MultiPoint"",""coordinates"":[]}"
401_0,0.04105857748254172,0.68490475,2.302912540657246,0.04914957973460889,0.4173992,2.321431335915321,0.04778865774112295,0.8235964,2.056551966443108,2,3002,401,31.533281,"{""type"":""MultiPoint"",""coordinates"":[]}"
402_0,0.0099471102825682,0.65062326,2.863342024778137,0.01623260791493693,0.39160892,1.2090512742004451,0.05090801121477503,0.7820661,-2.5716086690432673,2,2822,402,39.953976,"{""type"":""MultiPoint"",""coordinates"":[]}"
403_0,0.03658462587161688,0.6822677,2.5076884144535594,0.0347875068125062,0.39474726,2.4699754998907073,0.03510306165656574,0.84659684,2.5880141829119765,2,2203,403,22.105911,"{""type"":""MultiPoint"",""coordinates"":[]}"
404_0,0.056708500647242886,0.6154207,2.8485194095039805,0.05488231903294561,0.34878823,3.0462109513245896,0.054987957201823895,0.7996499,2.6713862295603885,2,2650,404,30.883097,"{""type"":""MultiPoint"",""coordinates"":[]}"
405_0,0.04594384040334253,0.6053511,2.647726930892725,0.05142806191486834,0.355859,2.0589205380418285,0.04061080123468338,0.78681624,2.7110092611673036,2,2697,405,35.658737,"{""type"":""MultiPoint"",""coordinates"":[]}"
406_0,0.03327592423888973,0.66685647,2.880603851019977,0.0274766891352117,0.39580572,2.9363115849487063,0.04998391777479234,0.80748916,2.5106665386652516,2,3166,406,32.65239,"{""type"":""MultiPoint"",""coordinates"":[]}"
407_0,0.04271545010653285,0.6279518,-3.1291656642236987,0.036270499628016054,0.34891942,-2.857009875159318,0.042041531639910534,0.8025966,3.130227795213278,2,2289,407,37.38928,"{""type"":""MultiPoint"",""coordinates"":[]}"
408_0,0.03365434339817782,0.6376597,2.677180112445184,0.032203807809356846,0.34231275,2.8738174221163644,0.027790610047038523,0.8196513,2.489034848789336,2,2131,408,19.35063,"{""type"":""MultiPoint"",""coordinates"":[]}"
409_0,0.03012907688915267,0.67883587,2.7187953359303645,0.02679641112190396,0.3972547,2.6452311578305343,0.025292438752012595,0.838423,2.7792079732015456,2,2350,409,32.1208,"{""type"":""MultiPoint"",""coordinates"":[]}"
