system:index,NBR_amp,NBR_mean,NBR_pha,NDMI_amp,NDMI_mean,NDMI_pha,NDVI_amp,NDVI_mean,NDVI_pha,cls,elev,ptid,slope,.geo
559_0,0.11390860646339093,0.5361745,-2.8640897636109255,0.0983833510078798,0.22108118,-2.8247756982120316,0.10427216448628591,0.72831446,-2.821136609236397,3,113,559,10.288387,"{""type"":""MultiPoint"",""coordinates"":[]}"
560_0,0.06671996117172556,0.6087295,-2.490397364819296,0.07298829159824197,0.29742253,-2.6961916326007547,0.07717790612314884,0.73906416,-2.800153591281197,3,125,560,14.157476,"{""type"":""MultiPoint"",""coordinates"":[]}"
561_0,0.05074406571072228,0.556527,-2.894242040016568,0.0417837435930781,0.26189476,2.9908371227634216,0.07458381113343815,0.7246267,-2.877758856299465,3,381,561,29.71059,"{""type"":""MultiPoint"",""coordinates"":[]}"
562_0,0.07931172578811008,0.53009856,-2.5813151478598244,0.06856955541037783,0.24894686,-2.6491251855042512,0.10309366876521925,0.65865314,-2.588282266959643,3,13,562,6.77633,"{""type"":""MultiPoint"",""coordinates"":[]}"
563_0,0.09486783750582113,0.6117904,-2.8708522870742987,0.09148099041978588,0.29971498,-2.7371747155807897,0.08327340853185616,0.76763195,-3.135201494810532,3,665,563,27.439255,"{""type"":""MultiPoint"",""coordinates"":[]}"
564_0,0.05213927231728411,0.6084671,-2.208800517745524,0.04263640864227882,0.28096458,-2.0883999764733394,0.045422261546118135,0.76909095,-2.3052824316319755,3,131,564,21.051218,"{""type"":""MultiPoint"",""coordinates"":[]}"
565_0,0.08655193073317441,0.58492935,-2.6210597026001534,0.07883171214550279,0.2692116,-2.4853087647008367,0.09405881729198315,0.75481784,-2.8264604650092604,3,211,565,24.301731,"{""type"":""MultiPoint"",""coordinates"":[]}"
566_0,0.08006109413387773,0.61893916,-2.6349217490956236,0.0785582866284986,0.30269,-2.6375913330971033,0.1038086739302203,0.76657814,-2.868457335236384,3,75,566,2.0387821,"{""type"":""MultiPoint"",""coordinates"":[]}"
567_0,0.056668502317884596,0.6443096,3.00817766591209,0.046948128175456676,0.3403525,3.0933359497848545,0.06229535109542518,0.8007986,-3.0518404990058206,3,1170,567,20.442331,"{""type"":""MultiPoint"",""coordinates"":[]}"
568_0,0.05580093224582614,0.59551764,-2.730856293118514,0.057776113679160426,0.2752459,-2.5853841531950303,0.03270078237097609,0.7821393,-2.6806613011865803,3,617,568,28.848272,"{""type"":""MultiPoint"",""coordinates"":[]}"
569_0,0.06254003218487302,0.6044535,-1.9785194124395231,0.058984184417639064,0.30275702,-1.8801378317994444,0.05446759218668872,0.7592968,-2.3244872346899363,3,494,569,23.385237,"{""type"":""MultiPoint"",""coordinates"":[]}"
570_0,0.04248422067960785,0.6556086,3.1026808194161015,0.04806436834016086,0.339569,2.8906139683644203,0.031253341719793985,0.7708954,-2.7718173350270465,3,156,570,25.911127,"{""type"":""MultiPoint"",""coordinates"":[]}"
571_0,0.03754421031678799,0.6212781,-2.9190600463419782,0.04501419090695818,0.3167992,-2.8140687105582356,0.05554046197532357,0.738067,-2.454707539241891,3,185,571,2.022493,"{""type"":""MultiPoint"",""coordinates"":[]}"
572_0,0.052092711883146695,0.60959953,-3.099680315671359,0.04399474761435931,0.3083259,3.1293687790092317,0.05644527168794198,0.75266206,-2.9479444197446836,3,228,572,17.618282,"{""type"":""MultiPoint"",""coordinates"":[]}"
573_0,0.09976035169933642,0.58341116,-2.7860752683046814,0.09123451092003096,0.27571428,-2.8304035621216053,0.10674239397944359,0.74864256,-2.829455232556568,3,156,573,24.2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
574_0,0.037698854656340194,0.65748584,2.8549781686964466,0.03492780102159212,0.34014535,2.928623497699827,0.04073347749825089,0.7847144,2.969589686574932,3,546,574,15.155544,"{""type"":""MultiPoint"",""coordinates"":[]}"
