ptid,cls,NDRE_fstd1,NDRE_fstd2,NDRE_fstd4,NDVI_fstd2,NDVI_fstd4,glcm2_contrast,glcm2_ent,glcm2_idm,glcm2_var,glcm4_contrast,glcm4_ent,VH,VH_fstd2,L_HH,L_HV,L_HHHV,L_HV_fstd2
29,1,0.14216299722676737,0.18584968807760754,0.20389276372299672,0.24917021349775553,0.274326423288506,241.93437500000002,3.445134150183285,0.14302637728985668,452.56850585937036,184.5807291666667,4.746687029223521,-14.10895995676628,2.1808354521639184,-5.005778108577104,-9.876118756416275,4.870340647839171,1.5448943976494847
30,1,0.009487852916573407,0.00972301595672336,0.020568386061853825,0.010478237810943366,0.01756929849326021,4.48125,2.5429112449685864,0.46634271432065544,2.47732421875844,5.350260416666668,3.8100065773708516,-6.415704786808274,0.4440890128491131,-2.479145579897221,-4.464921896205254,1.9857763163080335,6.07056134095283
31,1,0.040432708859990125,0.04458513655603487,0.08926483637544251,0.03902707204100913,0.13123894471479625,25.053125,3.2761371779424913,0.2689616224948886,23.092529296868634,99.05164930555556,4.621461714054369,-13.977129498192799,0.28392362699867024,-1.139274941096744,-9.868454172077719,8.729179230980975,2.0376608196817347
32,1,0.021250769449427276,0.022723517773060167,0.02913324396772547,0.02248206516705104,0.026074245034775487,8.940625,3.336829903220794,0.3133595374220375,7.355849609371944,6.846354166666665,4.228610309725186,-16.64707817484474,1.4466157825386545,-8.175391779490582,-10.387375119590004,2.2119833400994224,2.2542101207455723
33,1,0.05526331482630495,0.11140034043275808,0.12218826337617515,0.16309138884021965,0.18596744119616054,116.97500000000001,3.4646712616158406,0.14877984427513566,156.30849609374764,148.69704861111111,4.831799512439101,-13.728793747514311,0.9977655044819135,-0.6705017618333784,-5.341544187948031,4.671042426114653,3.4614909397294302
34,1,0.034643420068634745,0.04189661178834746,0.050737028412902854,0.05702761326278698,0.06400150305655523,25.234375,3.2978403743142963,0.20337869156092842,17.485576171877256,26.592447916666664,4.582838625780878,-15.219994001876225,2.1520397376702953,-3.8134470805565854,-9.348074170788934,5.534627090232348,0.8426289839491682
35,1,0.028105947159124636,0.0736300503900022,0.09472752483984702,0.12478898031996981,0.14122059454661476,69.125,3.313533903379031,0.22182872885975333,64.19935546875331,51.77213541666668,4.525925962401438,-14.347115740438422,1.2582431583798201,-4.179715125888606,-9.9802581123311,5.800542986442494,1.7789447770462488
36,1,0.05413830911031876,0.06881241318248131,0.12027705737276576,0.07497214686415782,0.16081120797283507,30.740624999999998,3.3585330995925995,0.20848945860817514,55.3303027343718,80.81640625,4.648058556193055,-13.834457901253183,0.5007819158221387,-6.660599244854012,-13.483671739373634,6.8230724945196215,0.9980082547166653
37,1,0.05307294197379983,0.06908768532902705,0.05309012096694668,0.08153810541894542,0.06693954062634663,32.053124999999994,3.5144912152185874,0.1609782670036174,41.588818359370634,23.428385416666664,4.508892701541423,-14.677513956062128,1.217475253130545,-5.51036364601066,-9.73163575494641,4.22127210893575,1.991717374667987
38,1,0.056034661842285845,0.10783563142522212,0.151644680392234,0.14915332057481925,0.21333792974881657,104.509375,3.5686433386998333,0.10665816826720209,169.6569433593727,79.93359375,4.692585120544048,-18.029920153394357,5.324899878007605,-9.28158415610929,-15.600847853078946,6.3192636969696565,1.1749204285681873
39,1,0.014753701381561147,0.020295267454221066,0.07680634867543311,0.020635769916655288,0.08750022123290489,23.946875,3.3758617791065983,0.25202511926089866,21.498505859379293,37.83203125,4.50500524094517,-13.533303611115654,2.1982951559803072,-4.50614593959628,-9.020599913279625,4.514453973683345,1.944966621077486
40,1,0.11089177998703444,0.11160749258726159,0.10192661772092508,0.1844198644167234,0.15880197712239424,107.76874999999998,3.322113549177416,0.22842681089034128,124.52615234375207,62.15928819444445,4.6017683428997,-13.168496013834854,0.8338402663683876,-4.530974607206971,-9.169529556636903,4.638554949429931,1.7397331769948405
41,1,0.019583678537218825,0.03646375549959812,0.032738217386158106,0.03799426221460448,0.03147418344239683,11.5,3.2198613165013032,0.35508452136335067,12.290546874995016,7.049479166666667,4.052565693387843,-6.771434860470734,0.8835809892863201,-1.311334464269109,-5.743066800341225,4.431732336072116,2.110792572906748
42,1,0.0161050397622559,0.020274060128737833,0.028417043676769536,0.02646666387299708,0.028724174013044966,5.73125,3.2289718967896732,0.34438157331539687,4.818417968746871,4.719618055555555,3.9853738296052645,-14.580314474125373,1.6964786324729522,-8.480134821505544,-12.709044946794279,4.228910125288735,1.137413197703761
43,1,0.057384675545536536,0.06164061203511492,0.0571740453033593,0.08579928356655034,0.08480165717531549,39.121875,3.4300139025878438,0.22046592485435357,35.86811523437245,51.49131944444446,4.599323130104125,-15.43854189109955,0.6495530240692092,-10.07977180817521,-8.034688546625176,-2.045083261550033,1.9318228634692591
44,1,0.1675923020562654,0.2337885913220209,0.2109351943396186,0.3205987874546587,0.2897278743303022,439.06875,3.5318198947325854,0.11455652474558876,524.6323242187495,274.19314236111114,4.868502618354167,-14.063218733003733,2.0458960547083005,-4.571473179694692,-3.081156740148998,-1.490316439545694,4.422488026633557
45,1,0.013234656503012025,0.029467017419840227,0.041753785574741374,0.03596973994327504,0.0421482639355497,10.015625000000002,3.3092017335005317,0.32544480708083645,10.250576171872126,12.703559027777775,4.228774799686808,-16.061669761927167,1.3037215434260485,-7.374948115030875,-13.728111956259994,6.353163841229119,1.9130550642285455
46,1,0.057307817095282425,0.08077122904844619,0.09776644386763882,0.12698223489077087,0.15609253237750612,122.58125,3.5079929604008373,0.06412157752214565,84.69427734374767,76.35503472222226,4.610441151836827,-14.248354521098467,2.046520779991861,-5.527776060070664,-9.647205878871773,4.119429818801109,2.4134710907729646
